DATE,YEAR,MONTH,DISTRICT,PRECTOT
2/29/1996,1996,2,Syangja,23.16
3/31/1996,1996,3,Syangja,1.38
4/30/1996,1996,4,Syangja,34.71
5/31/1996,1996,5,Syangja,31.22
6/30/1996,1996,6,Syangja,92.56
7/31/1996,1996,7,Syangja,152.28
8/31/1996,1996,8,Syangja,231.9
9/30/1996,1996,9,Syangja,45.62
10/31/1996,1996,10,Syangja,48.36
11/30/1996,1996,11,Syangja,0
12/31/1996,1996,12,Syangja,0
1/31/1997,1997,1,Syangja,4.51
2/28/1997,1997,2,Syangja,0
3/31/1997,1997,3,Syangja,1.54
4/30/1997,1997,4,Syangja,30.36
5/31/1997,1997,5,Syangja,10.26
6/30/1997,1997,6,Syangja,41.78
7/31/1997,1997,7,Syangja,119.42
8/31/1997,1997,8,Syangja,112.16
9/30/1997,1997,9,Syangja,32.99
10/31/1997,1997,10,Syangja,5.6
11/30/1997,1997,11,Syangja,2.08
12/31/1997,1997,12,Syangja,18.34
1/31/1998,1998,1,Syangja,1.58
2/28/1998,1998,2,Syangja,3.5
3/31/1998,1998,3,Syangja,12.74
4/30/1998,1998,4,Syangja,18.57
5/31/1998,1998,5,Syangja,18.66
6/30/1998,1998,6,Syangja,69.71
7/31/1998,1998,7,Syangja,241.42
8/31/1998,1998,8,Syangja,258.72
9/30/1998,1998,9,Syangja,92.86
10/31/1998,1998,10,Syangja,50.66
11/30/1998,1998,11,Syangja,1.22
12/31/1998,1998,12,Syangja,0
1/31/1999,1999,1,Syangja,10.55
2/28/1999,1999,2,Syangja,0.52
3/31/1999,1999,3,Syangja,0.08
4/30/1999,1999,4,Syangja,8.91
5/31/1999,1999,5,Syangja,47.26
6/30/1999,1999,6,Syangja,67.8
7/31/1999,1999,7,Syangja,82.32
8/31/1999,1999,8,Syangja,130.6
9/30/1999,1999,9,Syangja,48.81
10/31/1999,1999,10,Syangja,58.11
11/30/1999,1999,11,Syangja,0
12/31/1999,1999,12,Syangja,0.24
1/31/2000,2000,1,Syangja,2.19
2/29/2000,2000,2,Syangja,3.47
3/31/2000,2000,3,Syangja,2.02
4/30/2000,2000,4,Syangja,1.43
5/31/2000,2000,5,Syangja,60.32
6/30/2000,2000,6,Syangja,137.97
7/31/2000,2000,7,Syangja,194.86
8/31/2000,2000,8,Syangja,214.78
9/30/2000,2000,9,Syangja,134.02
10/31/2000,2000,10,Syangja,0.32
11/30/2000,2000,11,Syangja,6.86
12/31/2000,2000,12,Syangja,0.04
1/31/2001,2001,1,Syangja,0.11
2/28/2001,2001,2,Syangja,0.24
3/31/2001,2001,3,Syangja,9.75
4/30/2001,2001,4,Syangja,7.36
5/31/2001,2001,5,Syangja,57.47
6/30/2001,2001,6,Syangja,87
7/31/2001,2001,7,Syangja,142.56
8/31/2001,2001,8,Syangja,184.67
9/30/2001,2001,9,Syangja,169.14
10/31/2001,2001,10,Syangja,26.46
11/30/2001,2001,11,Syangja,0.72
12/31/2001,2001,12,Syangja,0
1/31/2002,2002,1,Syangja,13.87
2/28/2002,2002,2,Syangja,13.73
3/31/2002,2002,3,Syangja,9.78
4/30/2002,2002,4,Syangja,1.28
5/31/2002,2002,5,Syangja,38.82
6/30/2002,2002,6,Syangja,66.21
7/31/2002,2002,7,Syangja,119.6
8/31/2002,2002,8,Syangja,32.68
9/30/2002,2002,9,Syangja,80.76
10/31/2002,2002,10,Syangja,11.76
11/30/2002,2002,11,Syangja,0.57
12/31/2002,2002,12,Syangja,16.54
1/31/2003,2003,1,Syangja,6.88
2/28/2003,2003,2,Syangja,28.68
3/31/2003,2003,3,Syangja,1
4/30/2003,2003,4,Syangja,12.94
